InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,TOP,CustomerID,Country
574506,M,Manual,1,11/4/2011,3.95,3.95,12577,France
538147,M,Manual,1,12/9/2010,15,15,13090,United Kingdom
580884,M,Manual,1,12/6/2011,0.85,0.85,15907,United Kingdom
569530,M,Manual,12,10/4/2011,0.08,0.96,17957,United Kingdom
550633,M,Manual,1,4/19/2011,3,3,17449,United Kingdom
559988,M,Manual,1,7/14/2011,0.42,0.42,15402,United Kingdom
538807,M,Manual,4,12/14/2010,0.21,0.84,17194,United Kingdom
538807,M,Manual,1,12/14/2010,20,20,17194,United Kingdom
538807,M,Manual,1,12/14/2010,5,5,17194,United Kingdom
546374,M,Manual,1,3/11/2011,10,10,17194,United Kingdom
559504,M,Manual,2,7/8/2011,0.79,1.58,15920,United Kingdom
559511,M,Manual,3,7/8/2011,0.79,2.37,15920,United Kingdom
546742,M,Manual,12,3/16/2011,0.42,5.04,12849,United Kingdom
546742,M,Manual,6,3/16/2011,2.1,12.6,12849,United Kingdom
551016,M,Manual,2,4/26/2011,1.65,3.3,17975,United Kingdom
552549,M,Manual,1,5/10/2011,334.71,334.71,15674,United Kingdom
577168,M,Manual,1,11/18/2011,0,0,12603,Germany
574474,M,Manual,4,11/4/2011,0.85,3.4,17979,United Kingdom
569360,M,Manual,1,10/3/2011,9.95,9.95,14653,United Kingdom
546328,M,Manual,1,3/11/2011,1687.17,1687.17,14911,EIRE
546329,M,Manual,1,3/11/2011,1687.17,1687.17,14911,EIRE
549739,M,Manual,1,4/12/2011,308.82,308.82,15935,United Kingdom
545332,M,Manual,1,3/1/2011,376.5,376.5,12352,Norway
545332,M,Manual,1,3/1/2011,280.05,280.05,12352,Norway
545332,M,Manual,1,3/1/2011,183.75,183.75,12352,Norway
548621,M,Manual,3,4/1/2011,0.65,1.95,16960,United Kingdom
551277,M,Manual,1,4/27/2011,1.25,1.25,13637,United Kingdom
551268,M,Manual,48,4/27/2011,0.19,9.12,16965,United Kingdom
572832,M,Manual,1,10/26/2011,1,1,16454,United Kingdom
537396,M,Manual,1,12/6/2010,35,35,17223,United Kingdom
577773,M,Manual,3,11/21/2011,2.55,7.65,16712,United Kingdom
547906,M,Manual,2,3/28/2011,0.5,1,14410,United Kingdom
576553,M,Manual,6,11/15/2011,2.55,15.3,14666,United Kingdom
558895,M,Manual,1,7/4/2011,389.68,389.68,12619,Germany
556573,M,Manual,1,6/13/2011,4.25,4.25,14667,United Kingdom
544578,M,Manual,1,2/21/2011,320.69,320.69,12365,Cyprus
556527,M,Manual,4,6/13/2011,1.65,6.6,16205,United Kingdom
573340,M,Manual,3,10/30/2011,0.79,2.37,14159,United Kingdom
541808,M,Manual,1,1/21/2011,10,10,16210,United Kingdom
553559,M,Manual,1,5/17/2011,293,293,14931,Channel Islands
539056,M,Manual,1,12/15/2010,1.45,1.45,16725,United Kingdom
560228,M,Manual,10,7/15/2011,0.85,8.5,17750,United Kingdom
565210,M,Manual,41,9/1/2011,0.19,7.79,17750,United Kingdom
550488,M,Manual,4,4/18/2011,0.83,3.32,16729,United Kingdom
578036,M,Manual,2,11/22/2011,0.08,0.16,16474,United Kingdom
563692,M,Manual,4,8/18/2011,2.1,8.4,17243,United Kingdom
555264,M,Manual,1,6/1/2011,3.95,3.95,17757,United Kingdom
575904,M,Manual,1,11/11/2011,7.95,7.95,18014,United Kingdom
557884,M,Manual,1,6/23/2011,1.25,1.25,17759,United Kingdom
575848,M,Manual,1,11/11/2011,10,10,14178,United Kingdom
580027,M,Manual,1,12/1/2011,10,10,14178,United Kingdom
572423,M,Manual,1,10/24/2011,464.9,464.9,16742,United Kingdom
540278,M,Manual,1,1/6/2011,1.65,1.65,15719,United Kingdom
571190,M,Manual,4,10/14/2011,0.12,0.48,17771,United Kingdom
550957,M,Manual,1,4/21/2011,1.95,1.95,18283,United Kingdom
565579,M,Manual,1,9/5/2011,4,4,18283,United Kingdom
544673,M,Manual,25,2/22/2011,0.42,10.5,13421,United Kingdom
567462,M,Manual,60,9/20/2011,0.08,4.8,14446,United Kingdom
569364,M,Manual,12,10/3/2011,1,12,13167,United Kingdom
571883,M,Manual,6,10/19/2011,0.39,2.34,14704,United Kingdom
556222,M,Manual,12,6/9/2011,0.38,4.56,17522,United Kingdom
542398,M,Manual,1,1/27/2011,4,4,13174,United Kingdom
561894,M,Manual,1,7/31/2011,0.08,0.08,14456,United Kingdom
561894,M,Manual,36,7/31/2011,0.08,2.88,14456,United Kingdom
574741,M,Manual,6,11/6/2011,1.45,8.7,15993,United Kingdom
571179,M,Manual,1,10/14/2011,40,40,15482,United Kingdom
544087,M,Manual,1,2/15/2011,3.75,3.75,17530,United Kingdom
544087,M,Manual,2,2/15/2011,0.42,0.84,17530,United Kingdom
569901,M,Manual,1,10/6/2011,1.25,1.25,12923,United Kingdom
546035,M,Manual,1,3/9/2011,7.95,7.95,12924,United Kingdom
548913,M,Manual,1,4/5/2011,1136.3,1136.3,12669,France
556784,M,Manual,1,6/14/2011,0.39,0.39,14461,United Kingdom
546866,M,Manual,2,3/17/2011,2.5,5,14462,United Kingdom
546950,M,Manual,4,3/18/2011,0.5,2,16511,United Kingdom
548631,M,Manual,1,4/1/2011,1,1,13184,United Kingdom
571106,M,Manual,1,10/13/2011,1,1,14976,United Kingdom
536981,M,Manual,2,12/3/2010,0.85,1.7,14723,United Kingdom
546117,M,Manual,12,3/9/2011,1,12,16771,United Kingdom
576349,M,Manual,1,11/14/2011,2.1,2.1,16519,United Kingdom
558679,M,Manual,1,7/1/2011,1,1,17800,United Kingdom
545336,M,Manual,2,3/1/2011,275.6,551.2,12428,Finland
553357,M,Manual,2,5/16/2011,15,30,12684,France
546426,M,Manual,1,3/13/2011,2,2,13708,United Kingdom
569382,M,Manual,1,10/3/2011,3155.95,3155.95,15502,United Kingdom
569389,M,Manual,1,10/3/2011,152.78,152.78,15502,United Kingdom
569389,M,Manual,1,10/3/2011,32.22,32.22,15502,United Kingdom
569389,M,Manual,1,10/3/2011,120,120,15502,United Kingdom
543017,M,Manual,1,2/2/2011,15,15,13199,United Kingdom
575952,M,Manual,1,11/13/2011,0.29,0.29,16015,United Kingdom
536569,M,Manual,1,12/1/2010,1.25,1.25,16274,United Kingdom
536569,M,Manual,1,12/1/2010,18.95,18.95,16274,United Kingdom
540566,M,Manual,1,1/10/2011,6.7,6.7,17811,United Kingdom
548327,M,Manual,1,3/30/2011,1.65,1.65,16788,United Kingdom
574252,M,Manual,1,11/3/2011,0,0,12437,France
540839,M,Manual,1,1/11/2011,12.75,12.75,16791,United Kingdom
570685,M,Manual,18,10/11/2011,1,18,13208,United Kingdom
570705,M,Manual,18,10/12/2011,0.36,6.48,13208,United Kingdom
578941,M,Manual,6,11/27/2011,0.39,2.34,16024,United Kingdom
578941,M,Manual,14,11/27/2011,0.21,2.94,16024,United Kingdom
559536,M,Manual,2,7/10/2011,0.85,1.7,16283,United Kingdom
560209,M,Manual,1,7/15/2011,0.39,0.39,15004,United Kingdom
549245,M,Manual,2,4/7/2011,0.85,1.7,15005,United Kingdom
571035,M,Manual,1,10/13/2011,0,0,12446,RSA
571909,M,Manual,1,10/19/2011,4.95,4.95,15006,United Kingdom
546418,M,Manual,24,3/13/2011,0.42,10.08,17315,United Kingdom
572103,M,Manual,1,10/20/2011,1.25,1.25,17571,United Kingdom
549989,M,Manual,1,4/13/2011,2.55,2.55,13221,United Kingdom
577938,M,Manual,2,11/22/2011,1.25,2.5,15525,United Kingdom
574722,M,Manual,16,11/6/2011,0.19,3.04,14502,United Kingdom
551714,M,Manual,1,5/3/2011,25.95,25.95,16806,United Kingdom
537077,M,Manual,12,12/5/2010,0.42,5.04,17062,United Kingdom
578996,M,Manual,1,11/27/2011,1,1,13991,United Kingdom
565377,M,Manual,1,9/2/2011,852.8,852.8,18087,United Kingdom
570448,M,Manual,3,10/10/2011,1,3,13224,United Kingdom
541658,M,Manual,1,1/20/2011,2.55,2.55,15529,United Kingdom
544464,M,Manual,4,2/20/2011,0.85,3.4,17323,United Kingdom
561885,M,Manual,2,7/31/2011,4.95,9.9,15532,United Kingdom
537392,M,Manual,5,12/6/2010,1.25,6.25,17068,United Kingdom
542717,M,Manual,1,1/31/2011,2.95,2.95,17580,United Kingdom
572316,M,Manual,1,10/23/2011,0.38,0.38,17836,United Kingdom
558479,M,Manual,2,6/29/2011,2.95,5.9,17837,United Kingdom
540073,M,Manual,6,1/4/2011,1.65,9.9,16814,United Kingdom
545995,M,Manual,6,3/8/2011,2.1,12.6,15023,United Kingdom
551982,M,Manual,3,5/5/2011,2.1,6.3,15023,United Kingdom
554933,M,Manual,2,5/27/2011,0.3,0.6,13232,United Kingdom
567183,M,Manual,1,9/18/2011,1.65,1.65,14769,United Kingdom
577893,M,Manual,1,11/22/2011,1.25,1.25,17073,United Kingdom
540021,M,Manual,1,1/4/2011,1.25,1.25,17841,United Kingdom
546543,M,Manual,1,3/14/2011,0.85,0.85,17841,United Kingdom
555110,M,Manual,2,5/31/2011,1.65,3.3,17841,United Kingdom
556671,M,Manual,1,6/13/2011,2.5,2.5,17841,United Kingdom
559535,M,Manual,1,7/10/2011,3.75,3.75,17841,United Kingdom
559535,M,Manual,1,7/10/2011,0.85,0.85,17841,United Kingdom
562460,M,Manual,6,8/5/2011,0.85,5.1,17841,United Kingdom
575304,M,Manual,1,11/9/2011,1.25,1.25,17841,United Kingdom
580956,M,Manual,4,12/6/2011,1.25,5,17841,United Kingdom
567485,M,Manual,60,9/20/2011,0.08,4.8,15026,United Kingdom
543543,M,Manual,1,2/9/2011,2.95,2.95,17843,United Kingdom
543543,M,Manual,24,2/9/2011,0.2,4.8,17843,United Kingdom
552259,M,Manual,1,5/8/2011,1,1,15796,United Kingdom
541983,M,Manual,1,1/24/2011,15,15,15797,United Kingdom
570479,M,Manual,1,10/10/2011,1.25,1.25,17589,United Kingdom
574317,M,Manual,6,11/3/2011,0.39,2.34,17078,United Kingdom
578074,M,Manual,1,11/22/2011,1.25,1.25,17590,United Kingdom
566927,M,Manual,1,9/15/2011,2033.1,2033.1,17846,United Kingdom
558841,M,Manual,1,7/4/2011,30,30,12471,Germany
547873,M,Manual,1,3/27/2011,14.95,14.95,13240,United Kingdom
575632,M,Manual,1,11/10/2011,40.46,40.46,12473,Germany
575632,M,Manual,1,11/10/2011,424.06,424.06,12473,Germany
575632,M,Manual,1,11/10/2011,549.34,549.34,12473,Germany
575636,M,Manual,1,11/10/2011,40.46,40.46,12473,Germany
553189,M,Manual,2,5/15/2011,1.65,3.3,15033,United Kingdom
553035,M,Manual,1,5/12/2011,1.45,1.45,17337,United Kingdom
560651,M,Manual,1,7/20/2011,451.42,451.42,15802,United Kingdom
563565,M,Manual,12,8/17/2011,0.42,5.04,17338,United Kingdom
578041,M,Manual,3,11/22/2011,1.25,3.75,17338,United Kingdom
545889,M,Manual,1,3/7/2011,45,45,15291,United Kingdom
568132,M,Manual,3,9/23/2011,1.25,3.75,15549,United Kingdom
548461,M,Manual,2,3/31/2011,0.5,1,14527,United Kingdom
572696,M,Manual,1,10/25/2011,250,250,17857,United Kingdom
574277,M,Manual,832,11/3/2011,0.25,208,17857,United Kingdom
575328,M,Manual,1200,11/9/2011,0.25,300,17857,United Kingdom
578060,M,Manual,1600,11/22/2011,0.25,400,17857,United Kingdom
580645,M,Manual,1,12/5/2011,219.5,219.5,17857,United Kingdom
580646,M,Manual,800,12/5/2011,0.25,200,17857,United Kingdom
558381,M,Manual,1,6/28/2011,600,600,15299,United Kingdom
538597,M,Manual,1,12/13/2010,1.25,1.25,15555,United Kingdom
567912,M,Manual,29,9/22/2011,0.06,1.74,15555,United Kingdom
569089,M,Manual,3,9/30/2011,1,3,13764,United Kingdom
539988,M,Manual,18,12/23/2010,0.2,3.6,18116,United Kingdom
576213,M,Manual,1,11/14/2011,1.25,1.25,18117,United Kingdom
563137,M,Manual,1,8/12/2011,1.65,1.65,14534,United Kingdom
540242,M,Manual,1,1/5/2011,18.95,18.95,15046,United Kingdom
541485,M,Manual,12,1/18/2011,0.2,2.4,18118,United Kingdom
537137,M,Manual,36,12/5/2010,0.85,30.6,16327,United Kingdom
548813,M,Manual,1,4/4/2011,162.6,162.6,12744,Singapore
548813,M,Manual,1,4/4/2011,2382.92,2382.92,12744,Singapore
548813,M,Manual,1,4/4/2011,239.3,239.3,12744,Singapore
548813,M,Manual,1,4/4/2011,1252.95,1252.95,12744,Singapore
548820,M,Manual,1,4/4/2011,2053.07,2053.07,12744,Singapore
571751,M,Manual,1,10/19/2011,3949.32,3949.32,12744,Singapore
571751,M,Manual,1,10/19/2011,2118.74,2118.74,12744,Singapore
541265,M,Manual,2,1/16/2011,1.25,2.5,17609,United Kingdom
573345,M,Manual,25,10/30/2011,0.2,5,17609,United Kingdom
564307,M,Manual,1,8/24/2011,2.1,2.1,17865,United Kingdom
577058,M,Manual,2,11/17/2011,0.29,0.58,18122,United Kingdom
580054,M,Manual,8,12/1/2011,0.08,0.64,18122,United Kingdom
577029,M,Manual,30,11/17/2011,1,30,15563,United Kingdom
577068,M,Manual,30,11/17/2011,0.3,9,15563,United Kingdom
537140,M,Manual,1,12/5/2010,0.42,0.42,12748,United Kingdom
537140,M,Manual,1,12/5/2010,0.85,0.85,12748,United Kingdom
537225,M,Manual,1,12/5/2010,1,1,12748,United Kingdom
537800,M,Manual,12,12/8/2010,0.19,2.28,12748,United Kingdom
537804,M,Manual,12,12/8/2010,2.95,35.4,12748,United Kingdom
537804,M,Manual,12,12/8/2010,0.19,2.28,12748,United Kingdom
544819,M,Manual,6,2/23/2011,5,30,12748,United Kingdom
551419,M,Manual,1,4/28/2011,400,400,12748,United Kingdom
563576,M,Manual,1,8/17/2011,8.49,8.49,12748,United Kingdom
568384,M,Manual,1,9/27/2011,0,0,12748,United Kingdom
568703,M,Manual,183,9/28/2011,0.08,14.64,12748,United Kingdom
572293,M,Manual,1,10/23/2011,50,50,12748,United Kingdom
576389,M,Manual,1,11/15/2011,850.5,850.5,12748,United Kingdom
578757,M,Manual,2,11/25/2011,0.85,1.7,12748,United Kingdom
580611,M,Manual,1,12/5/2011,0.85,0.85,12748,United Kingdom
559672,M,Manual,4,7/11/2011,0.39,1.56,14796,United Kingdom
570333,M,Manual,6,10/10/2011,0.39,2.34,18126,United Kingdom
548860,M,Manual,1,4/4/2011,2,2,13263,United Kingdom
553002,M,Manual,2,5/12/2011,1.95,3.9,13263,United Kingdom
558461,M,Manual,2,6/29/2011,1.95,3.9,13263,United Kingdom
562347,M,Manual,1,8/4/2011,0.42,0.42,13263,United Kingdom
548568,M,Manual,1,4/1/2011,12.75,12.75,14543,United Kingdom
548568,M,Manual,2,4/1/2011,10.95,21.9,14543,United Kingdom
581405,M,Manual,3,12/8/2011,0.42,1.26,13521,United Kingdom
556070,M,Manual,1,6/8/2011,129.38,129.38,17873,United Kingdom
577906,M,Manual,76,11/22/2011,0.29,22.04,13268,United Kingdom
579711,M,Manual,1,11/30/2011,1.25,1.25,15060,United Kingdom
553018,M,Manual,1,5/12/2011,557.72,557.72,12757,Portugal
554155,M,Manual,1,5/23/2011,1241.98,1241.98,12757,Portugal
554301,M,Manual,1,5/23/2011,1241.98,1241.98,12757,Portugal
554305,M,Manual,1,5/23/2011,557.72,557.72,12757,Portugal
569866,M,Manual,2,10/6/2011,1.25,2.5,12757,Portugal
575034,M,Manual,1,11/8/2011,7.95,7.95,15573,United Kingdom
566562,M,Manual,12,9/13/2011,0.42,5.04,17365,United Kingdom
573328,M,Manual,3,10/30/2011,0.39,1.17,16601,United Kingdom
545901,M,Manual,2,3/7/2011,1.25,2.5,15834,United Kingdom
549981,M,Manual,6,4/13/2011,0.39,2.34,16348,United Kingdom
561916,M,Manual,1,8/1/2011,0,0,15581,United Kingdom
561916,M,Manual,1,8/1/2011,250,250,15581,United Kingdom
562787,M,Manual,1,8/9/2011,208.34,208.34,15581,United Kingdom
562946,M,Manual,1,8/11/2011,2500,2500,15581,United Kingdom
545182,M,Manual,17,2/28/2011,0.2,3.4,14046,United Kingdom
559107,M,Manual,1,7/6/2011,2.95,2.95,15334,United Kingdom
538707,M,Manual,2,12/14/2010,0.21,0.42,17894,United Kingdom
545595,M,Manual,1,3/4/2011,0.85,0.85,14570,United Kingdom
571465,M,Manual,1,10/17/2011,0.85,0.85,14830,United Kingdom
571324,M,Manual,1,10/17/2011,283.02,283.02,12783,Portugal
571326,M,Manual,1,10/17/2011,339.02,339.02,12783,Portugal
559674,M,Manual,3,7/11/2011,0.42,1.26,15856,United Kingdom
539317,M,Manual,2,12/16/2010,3,6,17392,United Kingdom
567424,M,Manual,2,9/20/2011,0.19,0.38,16369,United Kingdom
567424,M,Manual,2,9/20/2011,0.85,1.7,16369,United Kingdom
571223,M,Manual,1,10/14/2011,599.5,599.5,13810,Germany
550354,M,Manual,1,4/18/2011,222.75,222.75,13811,Germany
559945,M,Manual,1,7/14/2011,18,18,17396,United Kingdom
558875,M,Manual,2,7/4/2011,8.95,17.9,13301,United Kingdom
569533,M,Manual,1,10/4/2011,7.95,7.95,16374,United Kingdom
575043,M,Manual,1,11/8/2011,4.95,4.95,13047,United Kingdom
573311,M,Manual,8,10/28/2011,0.39,3.12,14071,United Kingdom
575059,M,Manual,30,11/8/2011,0.39,11.7,14071,United Kingdom
573077,M,Manual,1,10/27/2011,4161.06,4161.06,12536,France
573080,M,Manual,1,10/27/2011,4161.06,4161.06,12536,France
555851,M,Manual,1,6/7/2011,3.75,3.75,13050,United Kingdom
549730,M,Manual,1,4/11/2011,1.5,1.5,15867,United Kingdom
560579,M,Manual,12,7/19/2011,0.42,5.04,15867,United Kingdom
560413,M,Manual,1,7/18/2011,550.64,550.64,13564,United Kingdom
561902,M,Manual,1,7/31/2011,30,30,17404,Sweden
574301,POST,POSTAGE,2,11/3/2011,28,56,12544,Spain
547790,POST,POSTAGE,3,3/25/2011,28,84,12545,Spain
568179,POST,POSTAGE,3,9/25/2011,28,84,12545,Spain
567968,POST,POSTAGE,3,9/23/2011,28,84,12546,Spain
572442,POST,POSTAGE,2,10/24/2011,28,56,12546,Spain
555589,POST,POSTAGE,2,6/6/2011,15,30,12802,Netherlands
545647,POST,POSTAGE,1,3/4/2011,28,28,12547,Spain
554792,POST,POSTAGE,1,5/26/2011,28,28,12547,Spain
558108,POST,POSTAGE,1,6/26/2011,28,28,12548,Spain
551013,POST,POSTAGE,2,4/26/2011,18,36,15108,European Community
555721,POST,POSTAGE,3,6/6/2011,15,45,15108,European Community
560783,POST,POSTAGE,4,7/21/2011,15,60,15108,European Community
578126,POST,POSTAGE,1,11/23/2011,4.95,4.95,16900,United Kingdom
567653,POST,POSTAGE,5,9/21/2011,28,140,12550,Spain
573768,POST,POSTAGE,3,11/1/2011,40,120,12552,Italy
537246,POST,POSTAGE,1,12/6/2010,28,28,12808,Portugal
541138,POST,POSTAGE,6,1/14/2011,18,108,12553,France
545583,POST,POSTAGE,2,3/4/2011,18,36,12553,France
547722,POST,POSTAGE,3,3/25/2011,18,54,12553,France
553843,POST,POSTAGE,2,5/19/2011,18,36,12553,France
559422,POST,POSTAGE,2,7/8/2011,18,36,12553,France
563926,POST,POSTAGE,2,8/21/2011,18,36,12553,France
570841,POST,POSTAGE,2,10/12/2011,18,36,12553,France
576245,POST,POSTAGE,3,11/14/2011,18,54,12553,France
580120,POST,POSTAGE,1,12/1/2011,18,18,12553,France
556829,POST,POSTAGE,3,6/15/2011,28,84,12809,Portugal
545191,POST,POSTAGE,1,2/28/2011,28,28,12811,Portugal
547444,POST,POSTAGE,1,3/23/2011,1,1,12811,Portugal
547566,POST,POSTAGE,1,3/24/2011,27,27,12811,Portugal
565933,POST,POSTAGE,1,9/8/2011,15,15,15885,United Kingdom
564819,POST,POSTAGE,1,8/30/2011,40,40,12814,Poland
561216,POST,POSTAGE,8,7/25/2011,15,120,14606,United Kingdom
541877,POST,POSTAGE,2,1/24/2011,18,36,12559,Germany
554654,POST,POSTAGE,3,5/25/2011,40,120,12815,Poland
560119,POST,POSTAGE,2,7/15/2011,40,80,12815,Poland
561057,POST,POSTAGE,1,7/24/2011,2.9,2.9,17935,United Kingdom
563853,POST,POSTAGE,8,8/19/2011,18,144,12560,Germany
580511,POST,POSTAGE,4,12/4/2011,18,72,12560,Germany
557027,POST,POSTAGE,2,6/16/2011,40,80,12816,Poland
565583,POST,POSTAGE,1,9/5/2011,40,40,12816,Poland
545570,POST,POSTAGE,1,3/3/2011,40,40,12817,Austria
554648,POST,POSTAGE,3,5/25/2011,18,54,12562,France
557069,POST,POSTAGE,3,6/16/2011,18,54,12562,France
562450,POST,POSTAGE,3,8/5/2011,18,54,12562,France
567191,POST,POSTAGE,3,9/19/2011,18,54,12562,France
571240,POST,POSTAGE,2,10/14/2011,18,36,12562,France
576941,POST,POSTAGE,5,11/17/2011,18,90,12562,France
580126,POST,POSTAGE,3,12/1/2011,18,54,12562,France
547493,POST,POSTAGE,9,3/23/2011,40,360,12818,Austria
561368,POST,POSTAGE,1,7/26/2011,36.5,36.5,14866,United Kingdom
547520,POST,POSTAGE,3,3/23/2011,18,54,12564,France
566739,POST,POSTAGE,3,9/14/2011,18,54,12566,Germany
537065,POST,POSTAGE,9,12/5/2010,18,162,12567,France
537468,POST,POSTAGE,3,12/7/2010,18,54,12567,France
543188,POST,POSTAGE,6,2/4/2011,18,108,12567,France
554097,POST,POSTAGE,5,5/22/2011,18,90,12567,France
556507,POST,POSTAGE,8,6/13/2011,18,144,12567,France
564173,POST,POSTAGE,4,8/23/2011,18,72,12567,France
565443,POST,POSTAGE,3,9/4/2011,18,54,12567,France
576927,POST,POSTAGE,6,11/17/2011,18,108,12567,France
548654,POST,POSTAGE,7,4/1/2011,18,126,12569,Germany
550004,POST,POSTAGE,4,4/14/2011,18,72,12569,Germany
550162,POST,POSTAGE,2,4/14/2011,18,36,12569,Germany
551818,POST,POSTAGE,4,5/4/2011,18,72,12569,Germany
551886,POST,POSTAGE,1,5/5/2011,18,18,12569,Germany
556114,POST,POSTAGE,1,6/9/2011,18,18,12569,Germany
558626,POST,POSTAGE,1,6/30/2011,18,18,12569,Germany
560545,POST,POSTAGE,1,7/19/2011,18,18,12569,Germany
562729,POST,POSTAGE,1,8/9/2011,18,18,12569,Germany
563373,POST,POSTAGE,2,8/16/2011,18,36,12569,Germany
564329,POST,POSTAGE,2,8/24/2011,18,36,12569,Germany
565423,POST,POSTAGE,1,9/4/2011,18,18,12569,Germany
565777,POST,POSTAGE,1,9/6/2011,18,18,12569,Germany
566059,POST,POSTAGE,1,9/8/2011,18,18,12569,Germany
569867,POST,POSTAGE,2,10/6/2011,18,36,12569,Germany
569907,POST,POSTAGE,1,10/6/2011,18,18,12569,Germany
570784,POST,POSTAGE,1,10/12/2011,18,18,12569,Germany
572060,POST,POSTAGE,1,10/20/2011,18,18,12569,Germany
572894,POST,POSTAGE,1,10/26/2011,18,18,12569,Germany
572895,POST,POSTAGE,1,10/26/2011,18,18,12569,Germany
574255,POST,POSTAGE,1,11/3/2011,18,18,12569,Germany
576390,POST,POSTAGE,1,11/15/2011,18,18,12569,Germany
576789,POST,POSTAGE,1,11/16/2011,18,18,12569,Germany
576790,POST,POSTAGE,1,11/16/2011,18,18,12569,Germany
578295,POST,POSTAGE,2,11/23/2011,18,36,12569,Germany
579901,POST,POSTAGE,3,12/1/2011,18,54,12569,Germany
580154,POST,POSTAGE,1,12/2/2011,18,18,12569,Germany
580531,POST,POSTAGE,1,12/4/2011,18,18,12569,Germany
580548,POST,POSTAGE,1,12/5/2011,18,18,12569,Germany
581183,POST,POSTAGE,4,12/7/2011,18,72,12569,Germany
581184,POST,POSTAGE,2,12/7/2011,18,36,12569,Germany
571724,POST,POSTAGE,3,10/19/2011,18,54,12572,Germany
579927,POST,POSTAGE,3,12/1/2011,18,54,12572,Germany
542425,POST,POSTAGE,2,1/28/2011,18,36,12574,France
541115,POST,POSTAGE,7,1/13/2011,28,196,12578,Italy
577316,POST,POSTAGE,7,11/18/2011,28,196,12578,Italy
567915,POST,POSTAGE,3,9/22/2011,18,54,12579,France
549193,POST,POSTAGE,2,4/7/2011,18,36,12580,Germany
560187,POST,POSTAGE,1,7/15/2011,550.94,550.94,17444,Canada
573417,POST,POSTAGE,1,10/31/2011,18,18,12581,Germany
544886,POST,POSTAGE,1,2/24/2011,40,40,12582,Finland
550192,POST,POSTAGE,3,4/15/2011,40,120,12582,Finland
536370,POST,POSTAGE,3,12/1/2010,18,54,12583,France
540455,POST,POSTAGE,3,1/7/2011,18,54,12583,France
543625,POST,POSTAGE,2,2/10/2011,18,36,12583,France
546373,POST,POSTAGE,2,3/11/2011,18,36,12583,France
554134,POST,POSTAGE,2,5/23/2011,18,36,12583,France
556463,POST,POSTAGE,2,6/12/2011,18,36,12583,France
557627,POST,POSTAGE,1,6/21/2011,18,18,12583,France
559441,POST,POSTAGE,2,7/8/2011,18,36,12583,France
564471,POST,POSTAGE,1,8/25/2011,18,18,12583,France
567552,POST,POSTAGE,3,9/21/2011,18,54,12583,France
569120,POST,POSTAGE,2,9/30/2011,18,36,12583,France
570851,POST,POSTAGE,1,10/12/2011,18,18,12583,France
575067,POST,POSTAGE,2,11/8/2011,18,36,12583,France
577687,POST,POSTAGE,3,11/21/2011,18,54,12583,France
